"","ageph","postal","freq","agecar","sexph","fuel","split","use","fleet","sportc","cover","power","claimAm","long","lat","logclaimAm","group_ageph"
"13",72,1050,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",1426.3793415,4.36698780528209,50.8223368893053,7.26289458347995,"[65,100]"
"16",28,1060,2,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",1576.354924,4.33373526320972,50.8295893025831,7.36287045064661,"[25,29)"
"21",52,1070,3,"6-10","Female","Petrol","Monthly","Private","No","Yes","MTPL",">110",8885.3963446,4.28236829549573,50.8289657408843,9.09216434787746,"[50,56)"
"23",56,1082,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+","66-110",619.73381193,4.28376885691113,50.8647124698852,6.42929005025145,"[56,65)"
"28",67,1160,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",1685.6016004,4.42757951558676,50.8102713392462,7.42987781194373,"[65,100]"
"29",45,1180,3,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",633.83895349,4.35081703057296,50.7896898188678,6.45179490559226,"[42,46)"
"30",27,1180,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","66-110",65.54304795,4.35081703057296,50.7896898188678,4.18270714737701,"[25,29)"
"32",47,1180,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL+","<66",74.293689375,4.35081703057296,50.7896898188678,4.30802601372897,"[46,50)"
"44",47,1350,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",64.625841908,4.95269242675746,50.6899552421005,4.16861436033368,"[46,50)"
"60",18,1470,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",6489.2823235,4.48109568138981,50.6069157926835,8.77790722168828,"[0,25)"
"66",26,1500,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","66-110",999.40753448,4.23008740505436,50.7304297242521,6.90716263788509,"[25,29)"
"68",33,1630,2,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","66-110",1685.6016004,4.33521382838845,50.7677723333653,7.42987781194373,"[33,37)"
"70",41,1730,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",830.64162281,4.19032802994598,50.9108264932304,6.7221984416796,"[37,42)"
"71",25,1745,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",77.0453075,4.16993656009959,50.9624554577042,4.34439365789984,"[25,29)"
"84",33,1950,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","<66",61.899013136,4.46103221175667,50.84513825609,4.12550423668786,"[33,37)"
"86",34,1970,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","66-110",4.2637686261,4.48215005879421,50.8429939550345,1.45015342321963,"[33,37)"
"91",27,2000,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",1189.8889189,4.38841821750176,51.215508128703,7.08161523628643,"[25,29)"
"113",35,2650,2,"2-5","Female","Petrol","Once","Private","No","No","MTPL+","66-110",3718.1053994,4.42247863625642,51.1562143595755,8.22096951629271,"[33,37)"
"138",39,3120,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",1924.7692731,4.69876495325672,50.9941115466561,7.56256138140845,"[37,42)"
"149",46,3700,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",1400.4001001,5.45412215054032,50.7717834338709,7.24451326056009,"[46,50)"
"159",45,4100,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",64.625841908,5.50186097173356,50.5826289911125,4.16861436033368,"[42,46)"
"160",38,4100,1,"6-10","Female","Petrol","Twice","Private","No","Yes","MTPL","66-110",236.21773976,5.50186097173356,50.5826289911125,5.46475400576945,"[37,42)"
"179",57,5000,1,"0-1","Female","Petrol","Monthly","Private","No","No","MTPL+++","66-110",112.86592183,4.8594592952501,50.4614444975032,4.72620058174748,"[56,65)"
"191",49,6000,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",1785.0812719,4.4383532510193,50.4167838476249,7.48721922365345,"[46,50)"
"193",31,6000,1,"6-10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",8530.6855,4.4383532510193,50.4167838476249,9.05142500067997,"[29,33)"
"200",36,6660,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+","66-110",70.376971683,5.6994779722021,50.1481217426165,4.25386610287734,"[33,37)"
"201",51,6760,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",128.08658425,5.57242557591003,49.5798038801165,4.8527064746907,"[50,56)"
"204",24,6900,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+",">110",1601.9871145,5.33301748132742,50.2092574542014,7.37900008421269,"[0,25)"
"206",25,7000,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",64.625841908,3.95800996174605,50.456351410773,4.16861436033368,"[25,29)"
"215",43,7170,1,"6-10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",64.625841908,4.22737913532681,50.4937684780418,4.16861436033368,"[42,46)"
"216",34,7180,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",764.4540517,4.25788707416648,50.5263582814504,6.63916192114301,"[33,37)"
"243",19,8790,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",795.36637423,3.41608721948592,50.8785081096418,6.67880285658452,"[0,25)"
"244",22,8790,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",145.01771199,3.41608721948592,50.8785081096418,4.97685588661584,"[0,25)"
"257",52,9000,2,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",1918.1753053,3.7078589016912,51.058541172233,7.55912965131879,"[50,56)"
