"","ageph","postal","freq","agecar","sexph","fuel","split","use","fleet","sportc","cover","power","long","lat","geo","agephGR","claimAm"
"2",28,1000,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",4.35648860980085,50.8448425917282,"[0.27,0.36]","[26,29)",155.97460579
"13",72,1050,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",4.36698754585594,50.8223371896674,"[0.27,0.36]","[63,73)",1426.3793415
"16",28,1060,2,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",4.33373499047421,50.8295895980367,"[0.27,0.36]","[26,29)",1576.354924
"21",52,1070,3,"6-10","Female","Petrol","Monthly","Private","No","Yes","MTPL",">110",4.28236800836164,50.828966025416,"[0.27,0.36]","[51,55)",8885.3963446
"23",56,1082,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+","66-110",4.28376855146786,50.8647127647595,"[0.27,0.36]","[55,59)",619.73381193
"28",67,1160,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",4.42757927977819,50.8102716488278,"[0.27,0.36]","[63,73)",1685.6016004
"29",45,1180,3,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",4.35081678346985,50.7896901067224,"[0.27,0.36]","[38,51)",633.83895349
"44",47,1350,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",4.95269240162696,50.6899556251716,"[-0.12,-0.065)","[38,51)",64.625841908
"57",37,1440,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",4.27379729891023,50.6793120090661,"[0.19,0.27)","[35,38)",1426.3793415
"60",18,1470,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",4.48109556525886,50.6069160571278,"[0.19,0.27)","[17,26)",6489.2823235
"66",26,1500,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","66-110",4.23008715447138,50.73042997031,"[0.19,0.27)","[26,29)",999.40753448
"70",41,1730,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",4.19032767326706,50.9108267814895,"[0.12,0.19)","[38,51)",830.64162281
"71",25,1745,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",4.16993617018987,50.9624557563308,"[0.053,0.12)","[17,26)",77.0453075
"83",42,1910,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+","66-110",4.5501416252917,50.9413086584938,"[0.12,0.19)","[38,51)",84.283798423
"84",33,1950,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","<66",4.46103196755242,50.8451385823977,"[0.27,0.36]","[32,35)",61.899013136
"86",34,1970,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","66-110",4.48214982178839,50.8429942850942,"[0.27,0.36]","[32,35)",4.2637686261
